Channel Hyperlink: (Fraudulent Videos, Total Videos, Percentage Fraudulent)

https://www.youtube.com/channel/UCts90inKat8ay5ICV1u4jqw: (6.0, 6, 100.0)
https://www.youtube.com/channel/UCgAO754g9e3zwtyQGlfoqEg: (1.0, 1, 100.0)
https://www.youtube.com/channel/UCdFLpycxqV29IShcccYWCfQ: (1.0, 2, 50.0)
https://www.youtube.com/channel/UClJWt3Qm1482-6hteliV26A: (1.0, 1, 100.0)
https://www.youtube.com/channel/UCrWKch4HUicyIPXxo-m13zA: (9.0, 9, 100.0)
https://www.youtube.com/channel/UCo2AQ-PaY-h6Qa86GWbtdlA: (0.0, 5, 0.0)
https://www.youtube.com/channel/UCVU-o-HBt11RF9weRbKu7xQ: (1.0, 1, 100.0)
https://www.youtube.com/channel/UCRH4JfHpyHJnMWrUVxMHztw: (1.0, 1, 100.0)
https://www.youtube.com/channel/UC1HlxQObFheA6fW-xfXeY1g: (1.0, 1, 100.0)
https://www.youtube.com/channel/UCFqanUMpCMh54RmqRFh8hZw: (1.0, 1, 100.0)
https://www.youtube.com/channel/UCEh6Y90uH8eUnmgajjS1Cfg: (12.0, 12, 100.0)
https://www.youtube.com/channel/UCc1rK5m2XWjqR3lRDOuRoMA: (7.0, 8, 87.5)
https://www.youtube.com/channel/UC6YesFz-e2fE8Gglxsvbflw: (1.0, 1, 100.0)
https://www.youtube.com/channel/UCJRgdU8QeOEh_kWeSacCvUg: (5.0, 5, 100.0)
https://www.youtube.com/channel/UCJT69IHdKi5SsrIOi5CfFVg: (1.0, 1, 100.0)
https://www.youtube.com/channel/UCb_z6F1lb79NS535uFM75OA: (1.0, 1, 100.0)
https://www.youtube.com/channel/UCvW-jwey_iD_VR8ds3dfnAQ: (1.0, 1, 100.0)
https://www.youtube.com/channel/UCiOhjLaUTA8vDCT1FWBxVHg: (0.0, 1, 0.0)
https://www.youtube.com/channel/UCcuwGE7nBdDkHAxLNdmsetQ: (0.0, 2, 0.0)
https://www.youtube.com/channel/UCkVbMXrd2EXzM9sABcWTjEg: (14.0, 14, 100.0)
https://www.youtube.com/channel/UCZvdNECgcn5UzGE8d01FzLw: (1.0, 1, 100.0)
https://www.youtube.com/channel/UCom7mj2prVZhCe3rnh_oU6w: (3.0, 3, 100.0)
https://www.youtube.com/channel/UC2i4zxEDw1XwHFtY4Vlzc-Q: (5.0, 5, 100.0)
https://www.youtube.com/channel/UCY__JXfCOJbuR-_7Nfsw0Pg: (1.0, 1, 100.0)
https://www.youtube.com/channel/UC_MTE8H-i_spop-Gc9tOCDQ: (48.0, 48, 100.0)
https://www.youtube.com/channel/UCmTXkrOZMDPFNbqKcVBrogA: (1.0, 1, 100.0)
https://www.youtube.com/channel/UCUWXLEyfw3CT9iZZmzbitpQ: (1.0, 2, 50.0)
https://www.youtube.com/channel/UC_4EQ0XQAf2LQMSjPz2eXTg: (14.0, 14, 100.0)
https://www.youtube.com/channel/UC6R67O-pgg-uCvKgcdZpDBg: (1.0, 3, 33.33333333333333)
https://www.youtube.com/channel/UCD39F5xPPJixJgfR5vvXkfA: (0.0, 1, 0.0)
https://www.youtube.com/channel/UCAPu9vozdGPktYSzUb42ysw: (0.0, 1, 0.0)
https://www.youtube.com/channel/UC3du9Mi_BOFnaQ5531J6jIA: (1.0, 1, 100.0)
https://www.youtube.com/channel/UCYjmZOHABanxsYpr0EXFiNQ: (1.0, 1, 100.0)
https://www.youtube.com/channel/UCgtPET-APEzypSCif306hxw: (3.0, 3, 100.0)
