Channel Hyperlink: (Fraudulent Videos, Total Videos, Percentage Fraudulent)

https://www.youtube.com/channel/UCgAO754g9e3zwtyQGlfoqEg: (1.0, 1, 100.0)
https://www.youtube.com/channel/UClJWt3Qm1482-6hteliV26A: (1.0, 1, 100.0)
https://www.youtube.com/channel/UCZMFJ5xqrihVch2r-ujCDfA: (18.0, 50, 36.0)
https://www.youtube.com/channel/UC88PmB8BA8uoTm6yevQkLUQ: (1.0, 2, 50.0)
https://www.youtube.com/channel/UC0aScUpD2eIFPRPbjcbapIg: (1.0, 1, 100.0)
https://www.youtube.com/channel/UC1HlxQObFheA6fW-xfXeY1g: (1.0, 1, 100.0)
https://www.youtube.com/channel/UC2i4zxEDw1XwHFtY4Vlzc-Q: (4.0, 5, 80.0)
https://www.youtube.com/channel/UCFqanUMpCMh54RmqRFh8hZw: (1.0, 1, 100.0)
https://www.youtube.com/channel/UCr_Q3aWAz00vUEfca7Lw2Bw: (1.0, 1, 100.0)
https://www.youtube.com/channel/UC29st7hpURX7Q--ikOqSqdw: (1.0, 1, 100.0)
https://www.youtube.com/channel/UC6YesFz-e2fE8Gglxsvbflw: (1.0, 1, 100.0)
https://www.youtube.com/channel/UCJRgdU8QeOEh_kWeSacCvUg: (2.0, 5, 40.0)
https://www.youtube.com/channel/UCcuwGE7nBdDkHAxLNdmsetQ: (1.0, 2, 50.0)
https://www.youtube.com/channel/UCiOhjLaUTA8vDCT1FWBxVHg: (1.0, 1, 100.0)
https://www.youtube.com/channel/UCkVbMXrd2EXzM9sABcWTjEg: (12.0, 14, 85.71428571428571)
https://www.youtube.com/channel/UCZvdNECgcn5UzGE8d01FzLw: (1.0, 1, 100.0)
https://www.youtube.com/channel/UCom7mj2prVZhCe3rnh_oU6w: (2.0, 3, 66.66666666666666)
https://www.youtube.com/channel/UCJf_jzQuav0gEx4Xm64Jbkw: (1.0, 2, 50.0)
https://www.youtube.com/channel/UCY__JXfCOJbuR-_7Nfsw0Pg: (1.0, 1, 100.0)
https://www.youtube.com/channel/UCmTXkrOZMDPFNbqKcVBrogA: (1.0, 1, 100.0)
https://www.youtube.com/channel/UCbozz7rMRwN0938oyHfhsng: (1.0, 2, 50.0)
https://www.youtube.com/channel/UC6R67O-pgg-uCvKgcdZpDBg: (2.0, 3, 66.66666666666666)
https://www.youtube.com/channel/UCD39F5xPPJixJgfR5vvXkfA: (1.0, 1, 100.0)
https://www.youtube.com/channel/UCAPu9vozdGPktYSzUb42ysw: (1.0, 1, 100.0)
https://www.youtube.com/channel/UCYjmZOHABanxsYpr0EXFiNQ: (1.0, 1, 100.0)
